C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C40:1
C41:1
D10:1
D11:1
D12:1
D13:1
D14:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
H1:1
J1:1
J2:1
J3:1
J4:1
J5:1
Q5:1
Q6:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
SW1:1
SW10:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
U3:1
U5:1
U6:1
Y1:1
